name,course
Balu shahi,dessert
Boondi,dessert
Gajar ka halwa,dessert
Ghevar,dessert
Gulab jamun,dessert
Imarti,dessert
Jalebi,dessert
Kaju katli,dessert
Kalakand,dessert
Kheer,dessert
Laddu,dessert
Lassi,dessert
Nankhatai,dessert
Petha,dessert
Phirni,dessert
Rabri,dessert
Sheera,dessert
Singori,dessert
Sohan halwa,dessert
Sohan papdi,dessert
Chhena jalebi,dessert
Chhena kheeri,dessert
Chhena poda,dessert
Cham cham,dessert
Kheer sagar,dessert
Ledikeni,dessert
Lyangcha,dessert
Malapua,dessert
Mihidana,dessert
Misti doi,dessert
Pantua,dessert
Pithe,dessert
Rasabali,dessert
Ras malai,dessert
Rasgulla,dessert
Sandesh,dessert
Adhirasam,dessert
Ariselu,dessert
Bandar laddu,dessert
Chikki,dessert
Dharwad pedha,dessert
Double ka meetha,dessert
Gavvalu,dessert
Kakinada khaja,dessert
Kuzhi paniyaram,dessert
Mysore pak,dessert
Obbattu holige,main course
Palathalikalu,dessert
Poornalu,dessert
Pongal,dessert
Pootharekulu,dessert
Qubani ka meetha,dessert
Sheer korma,dessert
Unni Appam,dessert
Kajjikaya,dessert
Anarsa,dessert
Basundi,dessert
Dhondas,dessert
Doodhpak,dessert
Mahim halwa,dessert
Modak,dessert
Shankarpali,dessert
Shrikhand,dessert
Sutar feni,dessert
Maach Jhol,main course
Pork Bharta,main course
Chak Hao Kheer,dessert
Galho,main course
Aloo gobi,main course
Aloo tikki,main course
Aloo matar,main course
Aloo methi,main course
Aloo shimla mirch,main course
Bhatura,main course
Bhindi masala,main course
Biryani,main course
Butter chicken,main course
Chana masala,main course
Chapati,main course
Chicken razala,main course
Chicken Tikka masala,main course
Chicken Tikka,starter
Chole bhature,main course
Daal baati churma,main course
Daal puri,main course
Dal makhani ,main course
Dal tadka,main course
Dum aloo,main course
Poha,snack
Fara,snack
Kachori,snack
Kadai paneer,main course
Kadhi pakoda,main course
Karela bharta,main course
Khichdi,main course
Kofta,main course
Kulfi falooda,dessert
Lauki ke kofte,main course
Lauki ki subji,main course
Litti chokha,main course
Makki di roti sarson da saag,main course
Misi roti,main course
Mushroom do pyaza,main course
Mushroom matar,main course
Naan,main course
Navrattan korma,main course
Palak paneer,main course
Paneer butter masala,main course
Paneer tikka masala,main course
Pani puri,snack
Panjeeri,dessert
Papad,snack
Paratha,main course
Pattor,main course
Pindi chana,main course
Rajma chaval,main course
Rongi,main course
Samosa,snack
Sattu ki roti,main course
Shahi paneer,main course
Shahi tukra,dessert
Vegetable jalfrezi,main course
Tandoori Chicken,main course
Tandoori Fish Tikka,starter
Attu,snack
Avial,main course
Bisi bele bath,main course
Currivepillai sadam ,main course
Dosa,snack
Idiappam,snack
Idli,snack
Kanji,snack
Kaara kozhambu,main course
Keerai kootu,main course
Keerai masiyal,main course
Keerai sadam,main course
Keerai poriyal,main course
Beef Fry,main course
Kootu,main course
Kos kootu,main course
Koshambri,main course
Kothamali sadam,main course
Kuzhakkattai,main course
Kuzhambu,main course
Masala Dosa,snack
Pachadi,main course
Paniyaram,main course
Papadum,snack
Paravannam,main course
Payasam,dessert
Paruppu sadam,main course
Pesarattu,snack
Poriyal,main course
Puli sadam,main course
Rasam,main course
Puttu,main course
Sambar,main course
Sandige,main course
Sevai,main course
Thayir sadam,main course
Theeyal,main course
Uttapam,snack
Vada,snack
Chicken Varuval,main course
Upma,snack
Amti,main course
Zunka,main course
Kolim Jawla,main course
Saath,main course
Bajri no rotlo,main course
Coconut vadi,dessert
Bhakri,main course
Bombil fry,main course
Chakali,snack
Chevdo,snack
Chorafali,snack
Copra paak,main course
Daal Dhokli,main course
Kutchi dabeli,snack
Dahi vada,snack
Dalithoy,main course
Dhokla,snack
Dudhi halwa,dessert
Gatta curry,main course
Gud papdi,dessert
Ghooghra,snack
Handwo,snack
Halvasan,dessert
Jeera Aloo,main course
Kansar,main course
Keri no ras,main course
Khakhra,snack
Khandvi,snack
Kombdi vade,snack
Laapsi,main course
Koshimbir,main course
Methi na Gota,main course
Mohanthal,dessert
Muthiya,snack
Patra,snack
Pav Bhaji,main course
Puri Bhaji,main course
Sabudana Khichadi,snack
Sev khamani,main course
Sev tameta,main course
Namakpara,snack
Sukhdi,dessert
Surnoli,snack
Thalipeeth,main course
Undhiyu,main course
Veg Kolhapuri,main course
Vindaloo,main course
Lilva Kachori,snack
Mag Dhokli,snack
Khichu,snack
Thepla,snack
Farsi Puri,snack
Khaman,snack
Turiya Patra Vatana sabji,main course
Churma Ladoo,dessert
Cheera Doi,dessert
Gheela Pitha,dessert
Khar,main course
Kumol Sawul,main course
Luchi,main course
Alu Pitika,main course
Masor tenga,main course
Bengena Pitika,main course
Bilahi Maas,main course
Black rice,main course
Bora Sawul,main course
Brown Rice,main course
Chingri malai curry,main course
Goja,dessert
Hando Guri,dessert
Haq Maas,main course
Chingri Bhape,main course
Kabiraji,main course
Khorisa,main course
Koldil Chicken,main course
Konir Dom,main course
Koldil Duck,main course
Masor Koni,main course
Mishti Chholar Dal,main course
Pakhala,main course
Pani Pitha,main course
Payokh,dessert
Prawn malai curry,main course
Red Rice,main course
Shukto,main course
Til Pitha,dessert
Bebinca,dessert
Shufta,dessert
Mawa Bati,dessert
Pinaca,dessert
